Common name,Origin,First developed,Comment,Use
Hawley,N.Y. US,1855,"Flesh whitish, tender, juicy, subacid, very good. Tree vigorous, bears annually. Susceptible to scab. Pick September. Use September.",Eating
Hawthornden,Scotland,1780,"W 73, H 52. Stalk 20–25 mm. Use October–November.",Cooking
Hector Macdonald,England,1906,"Pale yellowish-green. W 76, H 64. Flesh very crisp, juicy, acid. AM from RHS in 1904. Use October - February.",Cooking
Helios,Germany,,"W 65, H 60, We 115. Stalk 20 – 30 mm. Pick August. Use August.","Cooking, Eating"
Herefordshire Beefing,England,1800,"A yellow apple with red flush. W 76, H 63. Stalk short. Flesh greenish white, subacid. Pick early October. Use November - January.",
"Herefordshire Pearmain (syn. Royal Pearmain, Old Pearmain)",England ?,1800,"W 75, H 61. Stalk 11 mm. Flesh vinous, crisp, juicy spicy, aromatic, subacid, very good. Use December - February.","Eating, Cooking"
Herefordshire Russet,England,2002,"Cox's Orange Pippin x Idared. Rich, aromatic flavour. Pick early October, stores until January. Crops well.",Eating.
Herma,Germany,,"W 84, H 71, We 250. Stalk 20 – 25 mm. Pick October, Use December - March.","Cooking, Eating"
Herrings Pippin(syn. Herring´s Seedling),England,1908,"Large round conical, rather ribbed, greenish yellow with red flush and stripes. Flesh pale yellow with spicy aromatic flavour. H 68-76, W 83. Stalk 5 – 10 mm. P Cox Orange x Cellini. Pick early September Use September - November.","Eating, Cooking."
Herrnhut(syn. Schöner von Herrnhut),Saxonia Germany,1880,"A greenish yellow apple with red flush. W 64, H 58, We 95. Stalk 15 – 25 mm. Pick September. Use October - December.","Cooking, Eating"
Herzogin Olga,Germany,1860,"W 72-80, H 61-65. Stalk 27 mm. Pick late August. Use September.",Cooking (Eating)
Heta,Finland,Introduced 1996,A red apple roundish to conical. P Lobo x Huvitus. Pick late September.,Eating
Heusgen´s Golden Reinette(syn. Peter Heusgen´s Gold-Reinette),Germany,1877,"A yellow apple with red flush. W 70, H 60. Stalk medium. Flesh yellow, crisp, subacid. Pick Early October. Use December - March.","Eating, Cooking"
Heyer 12,Canada,1940,"A greenish yellow apple. Very cold-tolerant. Flesh juicy, acid. Use mid August - October.",Eating
Hibernal,Russia,1870,"Fuit large, oblate-conic, yellow with red flush. Tree vigorous. Flesh yellow, firm, coarse, juicy, subacid, fair to good. Use September - January.",
"Hiester(syn. Heaster, Heister)",US,1875,"Flesh white, crisp, juicy, subacid, good. Tree vigorous, productive. Use November - March.",Eating
Higby Sweet(syn. Lady Blush),US,1875,"W74, H 62. Stalk 18 mm. Flesh white, tender, juicy, sweet, very good to best. Tree early and good bearer. Use November - January.",Eating
High Canons,England,1887,"Yellow with red flush. W 76, H 64. FCC from RHS in 1884. Flesh extremely crisp, acid, cooking well. Use till April.",Cooking
Hightop Sweet,USA,1640,Frog green-yellow skin with an occasional pink blush. Ribbed. May have some tiny white spots on the skin.,"Eating, cooking"
High View Pippin,England,1911,Small to medium sized apple for use November to March. Award of Merit from RHS in 1928.,Eating
Himmelstalund,Sweden,1870,"W 75, H 58. Flesh juicy, aromatic. Use October - November.",Eating
Histon Favourite(syn. Chiver´s Seedling),England,1883,"W 77, H 68. Stalk variable. Flesh soft, juicy, sweet. Pick late September. Use October - December.","Eating, Cooking"
Hoary Morning,Somerset ? England,1819,"Yellow with red stripes. Flesh, white, dry. Pick mid September. Use October - December.","Cider, Cooking, Eating"
Holiday,US,Introduced 1964,P Macoun x Jonathan. Pick October 10 (in Ohio).,"Eating, Cooking, Baking"
Hog Island Sweet,N.Y. US,1857,"Flesh yellow, juicy, crisp, tender, aromatic, very sweet, good to very good. Stalk short. Use September - October.",Eating
"Holland Pippin(syn. Summer Pippin, Pie Apple)",Canada ?,1820,"W 77, H 58. Stalk 17 mm. Seeds sometimes imperfect. Flavor not agreeable for eating. Flesh white, crisp, tender, very juicy, subacid, good to very good. One of the very best kitchen apples. Use October - November.","Cooking, Pie"
Holland Winter,?,,"A green apple. W 85, H 69. Stalk 12 mm. Tree vigorous. Flesh white, firm, crisp, , juicy, subacid, good. Use December - May.",Eating
Holstein,Germany,1918,"An apple with a Cox-like flavour. W 67-73, H 67. Stalk 9–15 mm. Flesh crisp, juicy. Pick late September. Use November - January.",Eating
Honeycrisp,US,1960,Has excellent eating and keeping qualities. Mottled red and yellow colour. Very crisp white flesh is slightly tart with a strong honey-like sweetness. Quality varies from apple to apple. Developed by the University of Minnesota and best suited to cool climates. P Haralson x Keepsake.,Eating
Honeygold,US,1969,"Sweet tasting fruit. Tree has very showy, light pink blossoms in spring.",Eating
Hoover(syn. Wattaugah),US,1850,"W 79 H 63. Stalk 29 mm. Flesh yellowish, tender, juicy, subacid. Use November- February.",Eating
Horace,Canada,1912,"P Langford Beauty x unknown. A medium size highly colored, striped apple. Most nearly resembles Fameuse. Use September - November.",
Hormead Pearmain,England,1826,"Medium conical, greenish yellow with ligt brown flush. Flesh crisp, very juicy and pleasant. H 64, W 73. AM from RHS in 1900. Use December - May.",Cooking
"Horse(syn. Haas, Yellow Hoss)",US,1850,"W 81-83, H 71-72. Stalk 21–22 mm. Flesh yellow, tender, pleasant, subacid. Use last of July and first of August.","Cooking, Drying"
Houblon,Berkshire England,1901,"P Peasgood Nonsuch x Cox Orange. W 71, H 60. Stalk long. Raised by Charles Ross. Award of Merit from RHS in 1901. Pick late September. Use October - January.",Eating
Hounslow Wonder,England,1910,Orange-yellow with scarlet flush and stripes. Stalk short. AM from RHS in 1910. Use September - October.,Eating
Howgate Wonder agm,England,1960,"Makes a lot of juice. W 86, H 72. Flesh creamy-white, firm. P Annie Elizabeth x Peasgood Nonsuch.Pick early October. Use October to March.",Cooking
Hubbard´s Pearmain,England,1800,"One of the richest flavoured dessert apples. Use: November to April. H 57, W 62.",Eating
"Hubbardston Nonsuch(syn. John May, Hubbardston, Old Town Pippin)",Mass. US,1860,"W 78-86, H 70-77. Stalk 17–28 mm. Flesh yellow juicy. Use October - January.",Eating
Humboldt,US,Introduced 1944,P Transcedent x unknown.,
Hunt´s Duke of Gloucester,England,1820,"A desert apple of first rate quality, in use from December to February",Eating
Hunt´s Early,England,1800,"Yellow with brown-red flush. W 64, H 46. P Margaret x Reinette de Hollande.Flesh soft, pale yellow, good. Pick mid August.",Eating
Idagold,US,Introduced 1944,P Esopus Spitzenburg x Wagener.,Eating
Idajon,US,Introduced 1949,P Wagener x Jonathan. Ripens 10 days before Jonathan.,Eating
Idared agm,US,1935,"A medium-sized deep red apple. Crisp white flesh is tart and juicy, and can be somewhat bland if eaten out of hand, however, Idared is an exceptional cooking apple. Flesh keeps is shape, and the flavour becomes much stronger with cooking. An excellent keeping apple, Idared remains hardy and durable in proper storage for as long as 8 months. Idared is a cross between Jonathan and Wagener developed at the University of Idaho.W 65-90, H 50-75, We 150-180. Stalk 18-30mm. Prone to canker, scab, very prone to mildew. Pick end of October. Use December - April.","Cooking, Eating"
Imperatriz,Brazil,Introduced 1997,"P Gala x Mollie´s Delicious. Flesh sweet, subacid.",Eating
Improved Blaxtayman 201.,US,Introduced 1944,Mutation of Stayman Winesap,
Ingol,Germany,1954,A red apple. We 184. Pick late September. Use October - January.,Eating
Ingrid Marie,Denmark,1910,"A medium size (90-180 gram) red apple. W 75, H 55. We 90-180. Stalk 12 – 25 mm. P Cox Orange x Cox Pomona. Picking September. Use November–February. The most popular eating apple in Sweden.",Eating
Irish Peach,Ireland,,"Excellent for baking. Early harvest. H 48-55, W 61-65. Stalk 15 mm. More difficult to find within land of origin due to primary use for export to UK. Hardy, tastes very good straight off tree. Pick late August. Use August - September.","Cooking, Eating"
Jacobs Sweet,US,1860,"A round yellow apple. Flesh yellow, firm, tender, crisp, juicy, aromatic, very sweet, good. Use October - April.",Eating
Jakob Fischer,Germany,1903,A yellow apple with red flush. Pick September. Use September - October.,Eating
Jakob Lebel(syn. Jacques Lebel),France,1825,"A very large apple W 82 - 94, H 63 - 73. We 185. Stalk 10 – 25 mm. Pick September - October. Use October - December.",Cooking
James Grieve agm,Scotland,1893,"Good taste, but poor keeper (bruises easily). H 60-65, W 70-80. We 140. Stalk 15–33 mm. AM from RHS in 1897. FCC from RHS in 1906. Prone to scab, canker, resistant to mildew. Pick early September. Use September - October.","Cooking, Eating"
Jaspi,Finland,Introduced 1980,"A red apple. P Lobo x Huvitus. Flesh sweet, subacid, aromatic, good. Pick September. Use September - October.",Eating
Jazz (Scifresh),New Zealand,2007,"Bright red round apple with subtle yellow under-striping. Tart to sweet, dense and very crunchy with effervescent texture. From sweet Royal Gala × firm, tart Braeburn. Widely sold commercially in the UK.",Eating
Jefferies,US,1849,"W 73, H 53. Stalk medium to long. Flesh yellowish-white, juicy, crisp, tender, subacid, aromatic, very good. Use August - December.",Eating
Jersey Sweet,US,1820,"W 90, H 67. Stalk 13 mm. Flesh yellow, tender, juicy, aromatic, very sweet, good to very good. Use August - October.",Baking
Jewett Red,US,1850,"Yellow with red flush. W 65, H 57. Stalk 10 mm. Flesh yellow, tender, juicy, aromatic, mild subacid, good to very good. Use October - February.",Eating
John Standish,England,1873,"Yellow-white flat-round apple, 50-75% flushed.W 63, H 54-57. Stalk 15–23 mm. AM from RHS in 1922. Pick mid October. Use December - February.",Eating
Jonagold agm,US,1968,"P Golden Delicious x Jonathan. Popular in Europe and land of origin. W 60-90, H 60-85. We 150 - 200. Stalk 15 – 35 mm. Several highly coloured strains are available. Widely sold commercially in the United Kingdom. Pick October. Use October - March.","Eating, Cooking"
Jonamac,US,1972,P McIntosh x Jonathan.,Eating
Jonared,US,1930,Mutation of Jonathan.,
Jonathan,New York,1820,"Tart taste. Mostly red apple with patches of lime green. W 67, H 58-61. We 95 -110. Stalk 8 – 18 mm. Does well in cooler areas; some frost resistance. Pick early October. Use November - April.","Cooking (Pie), Eating"
Jonagrimes,US,Introduced 1920,P unknown. A yellow apple streaked with red. Ripens two weeks ahead of Jonathan.,"Eating, Cooking"
Jonwin,US,Introduced 1944,P Jonathan x Baldwin. Ripens same as Jonathan.,
Joybells,England,1914,"Pale yellow, 25-75% flushed red. Flesh crisp, juicy and sweet, with pleasant flavour. AGM from RHS in 1922. H 63, W 77. Stalk variable. Pick late September. Use October - March.",Eating
Julita Gylling,Sweden,,"Yellow with red flush. W 69, H 61. Stalk 10 – 30 mm. Pick September. Use October - December.","Cooking, Eating"
,Introduced 1939,,,
Junaluska,US,1815,"Once thought to be extinct but rediscovered in 2001 in rural North Carolina. Native American origin. Named for Cherokee chief Junaluska, leader in Battle of Horseshoe Bend, believed to have planted original tree. Extremely russeted and ugly apple but very hardy tree with superior taste to commercial varieties.","Cooking, Cider, Eating"
Junami,Switzerland,2010,"A cross between Idared and Maigold with Elstar. Beautifully round, fresh and fruity taste with a crunchy bite.","Cooking, Eating"
June Wealthy,US,Introduced 1947,P Wealthy x unknown. A dark red apple. Ripens with Yellow Transparent.,
Juno,Germany,,"W 79, H 62, We 190. Stalk 15 – 22 mm. Flesh, juicy, aromatic, subacid. Pick October. Use January - May.","Eating, Cooking, Juice"
Junost,Russia,1938,"A yellow apple. P Gulkanel x Transparante Blanche. Flesh juicy, sweet, good. Pick September.","Eating, Cooking"
Jupiter agm,US,1815,"A large, round, slightly conic apple. W 64, H 58. Light yellow-green skin with a red-orange blush and stripes. Strong apple flavour is well-balanced between sweet and sharp. Cross of Cox's Orange Pippin and Starking Delicious (a sport of Red Delicious), apple retains Cox's flavour, but tree is easier to grow.",Eating
Kaiser Wilhelm,Germany,1864,"A large apple(170 gram), Harberts Reinette x unknown. Use November–March.","Eating, Cooking"
Kalemčica,Montenegro,,"A green apple. Russet in stalk cavity. W 70, H 48, We 76. Stalk short to medium. Flesh cream colored, juicy, sweet. Disease resistant. Pick September. Use September - March.","Eating, Cooking, Cider"
Kalmar Glasäpple,Sweden,1750,"The body is light yellow, and the taste is a mix of acidity and sweetness. H 65, W 78. Stalk 8 - 15mm. Harvesting may begin in early October and it is typically fully ripe in early December.","Cooking, Eating"
Kanzi (Nicoter),Belgium,1991,"Gala × Braeburn. Crunchy, juicy, sweet, slightly tangier than Gala.",Eating
Karapash,Albania,,"Yellow to green with red stripes. W 60-70, H 60-70, We 110-150. Stalk short to medium. Flesh white, juicy, sweet, subacid, aromatic. Sensitive to apple scab. Pick late October.",Eating
Kardinal Bea,Germany,1930,A German cider apple. Sugar-acid-ratio 15:1. Pick October. Use October - February.,Cider
Karmijn de Sonnaville,Netherlands,1949,"Yellow ground colour when ripe, with red flush, and russet depending on the season. Large apple, though shape can be irregular.","Cooking (Apple Juice), Eating"
Katy (apple)(syn. Katja),Sweden,1947,"Early eating apple with red skin and pale cream flesh. W 66, H 60. Stalk 21 mm. Well suited to Northern European climate. Pick early September. Use September - early October.",Eating
Kavlås,Sweden,1820,"W 80-87, H 70-79. Stalk 20– 30 mm. Flesh juicy, sweet, subacid, good. Pick early October. Use October - December.",Eating
Kendall,New York,Introduced 1932,"Large, dark red. P McIntosh x Zusoff",Eating
Kent see Malling Kent,,,,
Kentucky Long Stem,US,1850,"Flesh greenish white, sweet, subacid. Use December - March.",Eating
Kerry Pippin,Ireland,1805,"Pale to golden yellow flesh. Delightful spicy taste. Well suited to Ireland's moist, cool climate. W 54, H 54. Stalk short - medium. Pick late August. Use August - September.",Eating
Keswick Codlin,England,Introduced 1790,"A yellow apple. W 74, H 67. Stalk 9 mm. Flesh yellowish white, soft, acid. Pick late August. Use September - October.",Cooking
Kidd's Orange Red agm,New Zealand,1924,"Cox's Orange Pippin × Delicious. Yellow skin with orange red flush. W 67, H 64. Chewy rather than crunchy.",Eating
